disp.name.flag,disp.name.am
LANGUAGE,"Հայերեն"
HEAT,"Ջերմություն"
MOVE,"Շարժել"
HOME,"Սկզբնական"
PRINT,"Տպել"
EXTRUDE,"Հալել"
FAN,"Հովացնել"
SETTINGS,"Կարգավորումներ"
SCREEN_SETTINGS,"Screen"
MACHINE_SETTINGS,"Machine"
FEATURE_SETTINGS,"Feature"
SILENT_ON,"Silent On"
SILENT_OFF,"Silent Off"
SHUT_DOWN,"Shut Down"
RGB_SETTINGS,"LED Color"
RGB_OFF,"LED Off"
GCODE,"Gcode"
TERMINAL,"Terminal"
CUSTOM,"Custom"
LEVELING,"Leveling"
POINT_1,"Point 1"
POINT_2,"Point 2"
POINT_3,"Point 3"
POINT_4,"Point 4"
ABL,"ABL"
BLTOUCH,"Bltouch"
BLTOUCH_TEST,"Test"
BLTOUCH_DEPLOY,"Deploy"
BLTOUCH_STOW,"Stow"
BLTOUCH_REPEAT,"Repeat"
Z_OFFSET,"Z Offset"
PROBE_OFFSET,"Probe Offset"
EEPROM_SAVE,"Save"
INC,"Ավելացնել"
DEC,"Նվազեցնել"
NOZZLE,"Գլխիկ"
BED,"Տախտակ"
STOP,"Դադարեցնել"
BACK,"Հետ"
PAGE_UP,"Վերեւ"
PAGE_DOWN,"Ներքեւ"
PAUSE,"Կանգնեցնել"
RESUME,"Շարունակել"
LOAD,"Load"
UNLOAD,"Unload"
SLOW_SPEED,"Դանդաղ"
NORMAL_SPEED,"Նորմալ"
FAST_SPEED,"Արագ"
FAN_FULL_SPEED,"Ամբողջը"
FAN_HALF_SPEED,"Կիսատ"
ROTATE_UI,"Rotate UI"
TOUCHSCREEN_ADJUST,"TSC Adjust"
MORE,"More"
SCREEN_INFO,"Info"
STATUS,"Status"
WHITE,"White"
BLACK,"Black"
BLUE,"Blue"
RED,"Red"
GREEN,"Green"
CYAN,"Cyan"
YELLOW,"Yellow"
BROWN,"Brown"
GRAY,"Gray"
ORANGE,"Orange"
INDIGO,"Indigo"
VIOLET,"Violet"
MAGENTA,"Magenta"
PURPLE,"Purple"
LIME,"Lime"
DARKBLUE,"DarkBlue"
DARKGREEN,"DarkGreen"
DARKGRAY,"DarkGray"
DISCONNECT,"Անջատել"
PERCENTAGE,"Percentage"
BABYSTEP,"Դանդաղ"
PERCENTAGE_SPEED,"Արագություն"
PERCENTAGE_FLOW,"Flow"
VALUE_ZERO,"Zero"
1_DEGREE,"1℃"
5_DEGREE,"5℃"
10_DEGREE,"10℃"
