disp.name.flag,disp.name.cn
LANGUAGE,"简体中文"
HEAT,"加热"
MOVE,"移动"
HOME,"回原点"
PRINT,"打印"
EXTRUDE,"挤出"
FAN,"风扇"
SETTINGS,"设置"
SCREEN_SETTINGS,"屏幕设置"
MACHINE_SETTINGS,"机器设置"
FEATURE_SETTINGS,"功能设置"
SILENT_ON,"静音模式"
SILENT_OFF,"响铃模式"
SHUT_DOWN,"关闭电源"
RGB_SETTINGS,"灯光颜色"
RGB_OFF,"熄灭灯光"
GCODE,"Gcode"
TERMINAL,"Terminal"
CUSTOM,"自定义"
LEVELING,"调平"
POINT_1,"第一点"
POINT_2,"第二点"
POINT_3,"第三点"
POINT_4,"第四点"
ABL,"自动调平"
BLTOUCH,"Bltouch"
BLTOUCH_TEST,"BL自检"
BLTOUCH_DEPLOY,"探针弹出"
BLTOUCH_STOW,"探针收回"
BLTOUCH_REPEAT,"精度测试"
Z_OFFSET,"Z-偏移量"
PROBE_OFFSET,"探针偏移量"
EEPROM_SAVE,"保存参数"
INC,"增加"
DEC,"减少"
NOZZLE,"喷头"
BED,"热床"
STOP,"停止"
BACK,"返回"
PAGE_UP,"上一页"
PAGE_DOWN,"下一页"
PAUSE,"暂停"
RESUME,"继续"
LOAD,"进料"
UNLOAD,"退料"
SLOW_SPEED,"慢速"
NORMAL_SPEED,"常速"
FAST_SPEED,"快速"
FAN_FULL_SPEED,"全速"
FAN_HALF_SPEED,"半速"
ROTATE_UI,"旋转界面"
TOUCHSCREEN_ADJUST,"触屏校准"
MORE,"更多"
SCREEN_INFO,"关于"
STATUS,"状态"
WHITE,"白色"
BLACK,"黑色"
BLUE,"蓝色"
RED,"红色"
GREEN,"绿色"
CYAN,"青色"
YELLOW,"黄色"
BROWN,"棕色"
GRAY,"灰色"
ORANGE,"橙色"
INDIGO,"靛"
VIOLET,"紫色"
MAGENTA,"Magenta"
PURPLE,"Purple"
LIME,"Lime"
DARKBLUE,"DarkBlue"
DARKGREEN,"DarkGreen"
DARKGRAY,"DarkGray"
DISCONNECT,"断开连接"
PERCENTAGE,"百分比"
BABYSTEP,"Z-微调"
PERCENTAGE_SPEED,"速度百分比"
PERCENTAGE_FLOW,"流量百分比"
VALUE_ZERO,"清零"
1_DEGREE,"1℃"
5_DEGREE,"5℃"
10_DEGREE,"10℃"
X_INC,"X+"
Y_INC,"Y+"
Z_INC,"Z+"
X_DEC,"X-"
Y_DEC,"Y-"
Z_DEC,"Z-"
X,"X"
Y,"Y"
Z,"Z"
001_MM,"0.01mm"
01_MM,"0.1mm"
1_MM,"1mm"
5_MM,"5mm"
10_MM,"10mm"
1_PERCENT,"1%"
5_PERCENT,"5%"
10_PERCENT,"10%"
PERCENT_VALUE,"%d%%"
READY,"准备打印"
BUSY,"系统繁忙,请稍候..."
UNCONNECTED,"未连接到打印机!"
DISCONNECT_INFO,"现在可以用电脑控制打印机"
LOADING,"加载中..."
POWER_FAILED,"是否继续打印?"
CONTINUE,"继续"
CANCEL,"取消"
ADJUST_TITLE,"触屏校准"
ADJUST_INFO,"请点击红点中心位置"
ADJUST_OK,"校准成功"
ADJUST_FAILED,"校准失败,请重试"
WARNING,"警告"
STOP_PRINT,"是否停止打印?"
CONFIRM,"确定"
TFTSD,"TFT SD"
READ_TFTSD_ERROR,"读TFT SD卡出错!"
TFTSD_INSERTED,"SD卡已插入!"
TFTSD_REMOVED,"SD卡已拔出!"
U_DISK,"U盘"
READ_U_DISK_ERROR,"读U盘出错!"
U_DISK_INSERTED,"U盘已插入!"
U_DISK_REMOVED,"U盘已拔出!"
ONBOARDSD,"板载SD"
READ_ONBOARDSD_ERROR,"读板载SD卡出错!"
FILAMENT_SENSOR,"耗材检测传感器"
FILAMENT_RUNOUT,"耗材已用尽,请更换耗材!"
PREHEAT,"一键预热"
PREHEAT_BOTH,"Both"
IS_PAUSE,"打印中无法挤出耗材, 是否暂停打印?"
AUTO_SHUT_DOWN,"自动关机"
UNIFIEDMOVE,"运动"
UNIFIEDHEAT,"温度"
COOLDOWN,"冷却"
EMERGENCYSTOP,"紧急停止"
TOUCH_TO_EXIT,"触摸任意点退出当前界面"
MAINMENU,"菜单"
WAIT_TEMP_SHUT_DOWN,"喷头温度正在降温，等待低于%d℃后自动关机"
FORCE_SHUT_DOWN,"强制关机"
SHUTTING_DOWN,"正在关机..."
PARAMETER_SETTING,"参数设置"
ON,"开启"
OFF,"关闭"
SMART,"智能"
