disp.name.flag,disp.name.es
LANGUAGE,"Español"
HEAT,"Calentar"
MOVE,"Mover"
HOME,"Origen"
PRINT,"Imprimir"
EXTRUDE,"Extruir"
FAN,"Ventilar"
SETTINGS,"Configurar"
SCREEN_SETTINGS,"Pantalla"
MACHINE_SETTINGS,"Máquina"
FEATURE_SETTINGS,"Añadidos"
SILENT_ON,"Sin sonido"
SILENT_OFF,"Sonido"
SHUT_DOWN,"Apagar"
RGB_SETTINGS,"Color LED"
RGB_OFF,"Apagar LED"
GCODE,"Gcode"
TERMINAL,"Terminal"
CUSTOM,"Personalizar"
LEVELING,"Nivelar"
POINT_1,"Punto 1"
POINT_2,"Punto 2"
POINT_3,"Punto 3"
POINT_4,"Punto 4"
ABL,"ABL"
BLTOUCH,"Bltouch"
BLTOUCH_TEST,"Probar"
BLTOUCH_DEPLOY,"Desplegar"
BLTOUCH_STOW,"Plegar"
BLTOUCH_REPEAT,"Repetir"
Z_OFFSET,"Z Offset"
PROBE_OFFSET,"Sonda Compensar"
EEPROM_SAVE,"Grabar"
INC,"Aumentar"
DEC,"Disminur"
NOZZLE,"Punta"
BED,"Cama"
STOP,"Parar"
BACK,"Volver"
PAGE_UP,"Retroceder"
PAGE_DOWN,"Avanzar"
PAUSE,"Pausar"
RESUME,"Continuar"
LOAD,"Cargar"
UNLOAD,"Descargar"
SLOW_SPEED,"Despacio"
NORMAL_SPEED,"Normal"
FAST_SPEED,"Rápido"
FAN_FULL_SPEED,"Todo"
FAN_HALF_SPEED,"Mitad"
ROTATE_UI,"Rotar"
TOUCHSCREEN_ADJUST,"Calibrar"
MORE,"Más"
SCREEN_INFO,"Informar"
STATUS,"Status"
WHITE,"Blanco"
BLACK,"Negro"
BLUE,"Azul"
RED,"Rojo"
GREEN,"Verde"
CYAN,"Cyan"
YELLOW,"Amarillo"
BROWN,"Marrón"
GRAY,"Gris"
ORANGE,"Orange"
INDIGO,"Indigo"
VIOLET,"Violet"
MAGENTA,"Magenta"
PURPLE,"Purple"
LIME,"Lime"
DARKBLUE,"DarkBlue"
DARKGREEN,"DarkGreen"
DARKGRAY,"DarkGray"
DISCONNECT,"Desconectar"
PERCENTAGE,"Porcentaje"
BABYSTEP,"BabyStep"
PERCENTAGE_SPEED,"Velocidad"
PERCENTAGE_FLOW,"Flujo"
VALUE_ZERO,"Cero"
1_DEGREE,"1℃"
5_DEGREE,"5℃"
10_DEGREE,"10℃"
X_INC,"+X"
Y_INC,"+Y"
Z_INC,"+Z"
X_DEC,"-X"
Y_DEC,"-Y"
Z_DEC,"-Z"
X,"X"
Y,"Y"
Z,"Z"
001_MM,"0.01mm"
01_MM,"0.1mm"
1_MM,"1mm"
