disp.name.flag,disp.name.hu
LANGUAGE,"Magyar"
HEAT,"Fűtés"
MOVE,"Mozgás"
HOME,"Végállás"
PRINT,"Nyomtatás"
EXTRUDE,"Adagolás"
FAN,"Hűtés"
SETTINGS,"Opciók"
SCREEN_SETTINGS,"Kijelző"
MACHINE_SETTINGS,"Gép"
FEATURE_SETTINGS,"Funkciók"
SILENT_ON,"Hang Be"
SILENT_OFF,"Hang Ki"
SHUT_DOWN,"Leállítás"
RGB_SETTINGS,"LED Szín"
RGB_OFF,"LED KI"
GCODE,"G-Kód"
TERMINAL,"Terminál"
CUSTOM,"Egyedi"
LEVELING,"Szintezés"
POINT_1,"1. pont"
POINT_2,"2. pont"
POINT_3,"3. pont"
POINT_4,"4. pont"
ABL,"ABL"
BLTOUCH,"Bltouch"
BLTOUCH_TEST,"Teszt"
BLTOUCH_DEPLOY,"Telepítés"
BLTOUCH_STOW,"Elhelyez"
BLTOUCH_REPEAT,"Ismétlés"
Z_OFFSET,"Z Eltolás"
PROBE_OFFSET,"Szonda Eltolás"
EEPROM_SAVE,"Mentés"
INC,"Növel"
DEC,"Csökkent"
NOZZLE,"Fej"
BED,"Ágy"
STOP,"Állj"
BACK,"Vissza"
PAGE_UP,"Fel"
PAGE_DOWN,"Le"
PAUSE,"Szünet"
RESUME,"Folytatás"
LOAD,"Betöltés"
UNLOAD,"Kiadás"
SLOW_SPEED,"Lassú"
NORMAL_SPEED,"Normál"
FAST_SPEED,"Gyors"
FAN_FULL_SPEED,"Teljes"
FAN_HALF_SPEED,"Fél"
ROTATE_UI,"Forgatás"
TOUCHSCREEN_ADJUST,"Igazítás"
MORE,"Több"
SCREEN_INFO,"Infó"
STATUS,"Status"
WHITE,"Fehér"
BLACK,"Fekete"
BLUE,"Kék"
RED,"Piros"
GREEN,"Zöld"
CYAN,"Cián"
YELLOW,"Sárga"
BROWN,"Barna"
GRAY,"Szürke"
ORANGE,"Narancs"
INDIGO,"Indigó"
VIOLET,"Viola"
MAGENTA,"Magenta"
PURPLE,"Purple"
LIME,"Lime"
DARKBLUE,"DarkBlue"
DARKGREEN,"DarkGreen"
DARKGRAY,"DarkGray"
DISCONNECT,"Leválaszt"
PERCENTAGE,"Százalék"
BABYSTEP,"Mikrolépés"
PERCENTAGE_SPEED,"Sebesség"
PERCENTAGE_FLOW,"Folyás"
