disp.name.flag,disp.name.sk
LANGUAGE,"Slovensky"
HEAT,"Teplota"
MOVE,"Posunúť"
HOME,"Domov"
PRINT,"Tlačiť"
EXTRUDE,"Extrúder"
FAN,"Ofuk"
SETTINGS,"Nastavenia"
SCREEN_SETTINGS,"Obrazovka"
MACHINE_SETTINGS,"Tlačiareň"
FEATURE_SETTINGS,"Funkcie"
SILENT_ON,"Zapnúť"
SILENT_OFF,"Stíšiť"
SHUT_DOWN,"Vypnúť"
RGB_SETTINGS,"Farba LED"
RGB_OFF,"Vypnúť LED"
GCODE,"Gcode"
TERMINAL,"Terminál"
CUSTOM,"Vlastné"
LEVELING,"Vyrovnanie"
POINT_1,"Bod 1"
POINT_2,"Bod 2"
POINT_3,"Bod 3"
POINT_4,"Bod 4"
ABL,"ABL"
BLTOUCH,"Bltouch"
BLTOUCH_TEST,"Test"
BLTOUCH_DEPLOY,"Vystrčiť"
BLTOUCH_STOW,"Stiahnuť"
BLTOUCH_REPEAT,"Opakovať"
Z_OFFSET,"Z Offset"
PROBE_OFFSET,"Probe Offset"
EEPROM_SAVE,"Uložiť"
INC,"Pridať"
DEC,"Ubrať"
NOZZLE,"Tryska"
BED,"Podložka"
STOP,"Stop"
BACK,"Naspäť"
PAGE_UP,"Ďalej"
PAGE_DOWN,"Naspäť"
PAUSE,"Pauza"
RESUME,"Pokračovať"
LOAD,"Zaviesť"
UNLOAD,"Vysunúť"
SLOW_SPEED,"Pomaly"
NORMAL_SPEED,"Normálne"
FAST_SPEED,"Rýchlo"
FAN_FULL_SPEED,"Naplno"
FAN_HALF_SPEED,"Polovičná"
ROTATE_UI,"Otočiť"
TOUCHSCREEN_ADJUST,"Kalibrácia"
MORE,"Viacej"
SCREEN_INFO,"Info"
STATUS,"Status"
WHITE,"Biela"
BLACK,"Čierna"
BLUE,"Modrá"
RED,"Červená"
GREEN,"Zelená"
CYAN,"Tyrkysová"
YELLOW,"Žltá"
BROWN,"Hnedá"
GRAY,"Šedá"
ORANGE,"Oranžová"
INDIGO,"Indigo"
VIOLET,"Fialová"
MAGENTA,"Magenta"
PURPLE,"Purple"
LIME,"Lime"
DARKBLUE,"DarkBlue"
DARKGREEN,"DarkGreen"
DARKGRAY,"DarkGray"
DISCONNECT,"Odpojiť"
PERCENTAGE,"Percentá"
BABYSTEP,"BabyStep"
PERCENTAGE_SPEED,"Rýchlosť"
PERCENTAGE_FLOW,"Prietok"
VALUE_ZERO,"Vypnúť"
1_DEGREE,"1℃"
5_DEGREE,"5℃"
10_DEGREE,"10℃"
X_INC,"X+"
Y_INC,"Y+"
Z_INC,"Z+"
X_DEC,"X-"
Y_DEC,"Y-"
Z_DEC,"Z-"
X,"X"
Y,"Y"
Z,"Z"
001_MM,"0.01mm"
01_MM,"0.1mm"
1_MM,"1mm"
5_MM,"5mm"
10_MM,"10mm"
1_PERCENT,"1%"
5_PERCENT,"5%"
10_PERCENT,"10%"
PERCENT_VALUE,"%d%%"
READY,"Pripravená"
BUSY,"Počkajte prosím..."
UNCONNECTED,"Tlačiareň odpojená!"
DISCONNECT_INFO,"Teraz môžete tlačiareň ovládať z počítača!"
LOADING,"Načítavam..."
POWER_FAILED,"Pokračovať v tlači?"
